year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2019,"3",Brooklyn,"079001","3079001",Flatbush,BK1401,BK14,"36047079001",,,4
2019,"3",Brooklyn,"079002","3079002",East Flatbush-Erasmus,BK1701,BK17,"36047079002",,,4
2019,"3",Brooklyn,"079202","3079202",East Flatbush-Erasmus,BK1701,BK17,"36047079202",,,4
2019,"3",Brooklyn,"082600","3082600",East Flatbush-Erasmus,BK1701,BK17,"36047082600",,,2
2019,"3",Brooklyn,"082800","3082800",East Flatbush-Erasmus,BK1701,BK17,"36047082800",,,3
2019,"3",Brooklyn,"083000","3083000",East Flatbush-Farragut,BK1702,BK17,"36047083000",,,2
2019,"3",Brooklyn,"051602","3051602",Flatbush,BK1401,BK14,"36047051602",,,4
2020,"1",Manhattan,"001401","1001401",Lower East Side,MN0302,MN03,"36061001401",,,2
2020,"1",Manhattan,"001402","1001402",Lower East Side,MN0302,MN03,"36061001402",,,2
2020,"1",Manhattan,"001600","1001600",Chinatown-Two Bridges,MN0301,MN03,"36061001600",,,2
2020,"1",Manhattan,"001200","1001200",Lower East Side,MN0302,MN03,"36061001200",,,2
2020,"1",Manhattan,"000800","1000800",Chinatown-Two Bridges,MN0301,MN03,"36061000800",,,2
2020,"1",Manhattan,"001501","1001501",Financial District-Battery Park City,MN0101,MN01,"36061001501",,,2
2020,"1",Manhattan,"000201","1000201",Chinatown-Two Bridges,MN0301,MN03,"36061000201",,,2
2020,"1",Manhattan,"000600","1000600",Chinatown-Two Bridges,MN0301,MN03,"36061000600",,,2
2020,"3",Brooklyn,"002100","3002100",Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,"36047002100",,,2
2020,"1",Manhattan,"002500","1002500",Chinatown-Two Bridges,MN0301,MN03,"36061002500",,,2
2020,"1",Manhattan,"002901","1002901",Tribeca-Civic Center,MN0102,MN01,"36061002901",,,2
2020,"1",Manhattan,"002700","1002700",Chinatown-Two Bridges,MN0301,MN03,"36061002700",,,2
2020,"1",Manhattan,"002902","1002902",Chinatown-Two Bridges,MN0301,MN03,"36061002902",,,2
2020,"1",Manhattan,"000202","1000202",Lower East Side,MN0302,MN03,"36061000202",Top OZs (by units),NA,2
2021,"2",Bronx,"007900","2007900",Melrose,BX0102,BX01,"36005007900",,,3
2021,"2",Bronx,"008700","2008700",Longwood,BX0202,BX02,"36005008700",,,2
2021,"2",Bronx,"012102","2012102",Longwood,BX0202,BX02,"36005012102",Bottom OZs (by units),NA,1
2021,"2",Bronx,"012500","2012500",Crotona Park East,BX0303,BX03,"36005012500",,,1
2021,"2",Bronx,"012901","2012901",Longwood,BX0202,BX02,"36005012901",,,2
2021,"2",Bronx,"013300","2013300",Morrisania,BX0301,BX03,"36005013300",,,2
2021,"2",Bronx,"013500","2013500",Morrisania,BX0301,BX03,"36005013500",,,1
2021,"2",Bronx,"012701","2012701",Longwood,BX0202,BX02,"36005012701",,,1
2021,"2",Bronx,"007700","2007700",Melrose,BX0102,BX01,"36005007700",,,3
2021,"2",Bronx,"011701","2011701",Hunts Point,BX0201,BX02,"36005011701",,,2
2021,"2",Bronx,"008500","2008500",Longwood,BX0202,BX02,"36005008500",,,3
2021,"2",Bronx,"008300","2008300",Longwood,BX0202,BX02,"36005008300",,,3
2021,"2",Bronx,"009301","2009301",Hunts Point,BX0201,BX02,"36005009301",,,2
