CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID
"254","3",Brooklyn,"025400","3025400",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025400"
"255","3",Brooklyn,"025500","3025500",E,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025500"
"256","3",Brooklyn,"025600","3025600",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025600"
"257","3",Brooklyn,"025700","3025700",E,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025700"
"258","3",Brooklyn,"025800","3025800",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047025800"
"259.01","3",Brooklyn,"025901","3025901",E,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025901"
"259.02","3",Brooklyn,"025902","3025902",E,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047025902"
"260","3",Brooklyn,"026000","3026000",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026000"
"262","3",Brooklyn,"026200","3026200",I,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026200"
"264","3",Brooklyn,"026400","3026400",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026400"
"265","3",Brooklyn,"026500","3026500",E,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047026500"
"266","3",Brooklyn,"026600","3026600",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026600"
"267","3",Brooklyn,"026700","3026700",I,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047026700"
"268","3",Brooklyn,"026800","3026800",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047026800"
"269","3",Brooklyn,"026900","3026900",E,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047026900"
"270","3",Brooklyn,"027000","3027000",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027000"
"272","3",Brooklyn,"027200","3027200",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027200"
"273","3",Brooklyn,"027300","3027300",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027300"
"274","3",Brooklyn,"027400","3027400",I,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027400"
"275","3",Brooklyn,"027500","3027500",I,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027500"
"276","3",Brooklyn,"027600","3027600",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027600"
"277","3",Brooklyn,"027700","3027700",E,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027700"
"278","3",Brooklyn,"027800","3027800",E,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027800"
